192685,189455,-,438640,435410,-
111136,108245,-,505259,508150,+
114636,111919,-,501777,504494,+
245926,243134,-,353412,350620,-
352293,349801,-,382870,380378,-
304754,307420,+,320919,323585,+
122477,120408,-,494290,496359,+
28904,31375,+,443835,441364,-
19509,17548,-,306726,304765,-
24482,26434,+,448291,446339,-
287153,285225,-,217360,219288,+
169475,171400,+,162711,164636,+
330958,332901,+,274209,276152,+
1,1797,+,1,1797,+
54173,55984,+,85146,83335,-
44526,46016,+,94403,92913,-
7263,5653,-,555010,553400,-
266620,265226,-,575349,576743,+
182323,180788,-,386433,384898,-
237727,236339,-,603725,602337,-
193847,192141,-,439802,438096,-
222989,221715,-,194534,193260,-
12675,14354,+,537302,538981,+
112889,114577,+,503524,501836,-
129707,131212,+,30955,32460,+
272749,274164,+,231956,230541,-
267551,268795,+,488686,489930,+
120409,122109,+,496358,494658,-
148958,150184,+,338156,339382,+
82930,81548,-,478072,479454,+
344459,343284,-,62564,63739,+
133335,134579,+,35015,36259,+
279043,277877,-,225481,226647,+
166438,167847,+,183823,185232,+
85255,86520,+,298042,299307,+
298012,296801,-,466921,465710,-
135926,137179,+,39187,40440,+
109764,111272,+,506631,505123,-
258113,256857,-,236189,234933,-
17552,19045,+,304769,306262,+
288417,287233,-,454877,453693,-
151806,150595,-,261705,262916,+
47776,49050,+,91663,90389,-
68277,67168,-,559972,558863,-
243123,244736,+,350609,352222,+
275829,274612,-,228728,229945,+
15943,17241,+,114417,115715,+
336409,337476,+,423382,422315,-
269695,270831,+,175453,176589,+
260251,261705,+,239253,240707,+
185087,186169,+,404836,405918,+
309554,310669,+,178260,179375,+
316330,317580,+,482651,483901,+
230216,231301,+,624265,623180,-
213235,214332,+,129925,131022,+
175624,176643,+,616613,617632,+
77508,78671,+,284987,286150,+
176642,175623,-,617631,616612,-
34910,36325,+,110207,108792,-
203161,204222,+,48169,49230,+
228911,230065,+,55711,56865,+
32590,33588,+,112667,111669,-
206413,207402,+,52246,53235,+
285226,286593,+,219287,217920,-
30624,28975,-,442115,443764,+
347489,346461,-,378157,377129,-
221716,222786,+,193261,194331,+
158321,157263,-,485513,484455,-
134629,133343,-,36309,35023,-
197622,198632,+,330816,331826,+
175622,176542,+,616611,617531,+
199306,200403,+,332586,333683,+
300447,299365,-,476382,475300,-
145867,144857,-,334975,333965,-
5792,7258,+,553539,555005,+
172964,171981,-,613772,612789,-
191091,192122,+,437046,438077,+
197043,195955,-,329574,328486,-
21010,20051,-,308251,307292,-
51017,52030,+,88377,87364,-
255953,256810,+,313629,312772,-
11757,12671,+,536391,537305,+
277881,279023,+,226643,225501,-
332078,330996,-,275329,274247,-
283829,282849,-,220658,221638,+
192550,193845,+,438505,439800,+
340645,341517,+,414923,414051,-
115950,115165,-,500457,501242,+
202283,201396,-,543216,542329,-
67301,68278,+,558996,559973,+
103228,102410,-,147728,146910,-
172148,172975,+,612956,613783,+
172968,172147,-,613776,612955,-
172135,172965,+,612943,613773,+
143485,144489,+,203943,204947,+
60986,60066,-,169781,168861,-
186786,187592,+,406547,407353,+
251216,251986,+,367299,368069,+
131921,133081,+,33599,34759,+
181080,182354,+,385190,386464,+
46015,45053,-,92914,93876,+
177665,176865,-,582276,581476,-
273779,272751,-,230926,231954,+
161396,162253,+,248641,247784,-
226447,227319,+,200714,199842,-
186168,185116,-,405917,404865,-
125932,126807,+,97645,96770,-
285213,286586,+,219300,217927,-
317579,316377,-,483900,482698,-
