503101,499070,-,115950,111919,-
90256,86948,-,192769,189461,-
498198,495424,-,111040,108266,-
530409,528304,-,122477,120372,-
95477,93003,-,28901,31375,+
400986,403037,+,245494,243443,-
411515,413476,+,19509,17548,-
99800,97950,-,24527,26377,+
314827,312917,-,169490,171400,+
437363,439168,+,89487,91292,+
369910,371727,+,54170,55987,+
292367,290823,-,286772,285228,-
365677,367554,+,50129,52006,+
340973,342694,+,238948,240669,+
484821,486383,+,344507,342945,-
1,1677,+,1,1677,+
16587,14989,-,7263,5665,-
266413,267999,+,182356,180770,-
207420,208820,+,266620,265220,-
426590,428086,+,288729,287233,-
48411,49682,+,222989,221718,-
227484,228869,+,351183,349798,-
26664,28046,+,237727,236345,-
377997,379439,+,135767,137209,+
360032,361270,+,44526,45764,+
226365,227492,+,352305,351178,-
277754,276489,-,148937,150202,+
500169,501788,+,113018,114637,+
179221,180507,+,84949,86235,+
93331,95469,+,31047,28909,-
520298,521590,+,330961,332253,+
200815,201996,+,33722,34903,+
116879,118192,+,82861,81548,-
452255,453454,+,275850,274651,-
512796,513905,+,305966,307075,+
86483,85194,-,258128,256839,-
449046,450191,+,279019,277874,-
386489,387703,+,151791,150577,-
131863,133080,+,133332,134549,+
363325,364611,+,47812,49098,+
214928,216202,+,232386,233660,+
246350,247615,+,13089,14354,+
204411,205577,+,178001,176835,-
211085,209952,-,309554,310687,+
446863,447981,+,213208,214326,+
230237,231478,+,347885,346644,-
5319,6341,+,176643,175621,-
311223,310201,-,176643,175621,-
91373,90243,-,193832,192702,-
497048,498403,+,109890,111245,+
36448,35336,-,298015,296903,-
451029,452264,+,277073,275838,-
310204,311223,+,175624,176643,+
6338,5319,-,175624,176643,+
482038,481070,-,68274,67306,-
290808,292643,+,285213,287048,+
196136,197305,+,316411,317580,+
444307,445428,+,226444,227565,+
160711,159731,-,335434,336414,+
147163,146096,-,203155,204222,+
87809,90112,+,190322,192625,+
511590,512663,+,304763,305836,+
199580,200575,+,32593,33588,+
98100,99794,+,26227,24533,-
403327,402041,-,243153,244439,+
143156,142146,-,206449,207459,+
