68696,72868,+,499008,494836,-
421640,418410,-,90178,86948,-
64594,67629,+,503116,500081,-
428827,425984,-,95819,92976,-
162333,164675,+,411134,413476,+
372472,370136,-,315052,312716,-
117631,119991,+,400995,403355,+
57262,59367,+,530409,528304,-
860573,858543,-,226377,228407,+
666292,664298,-,337369,335375,-
864805,862727,-,266413,268491,+
431222,433033,+,99794,97983,-
447554,445575,-,365545,367524,+
516265,518103,+,116303,118141,+
59363,57258,-,528308,530413,+
471375,469309,-,111754,113820,+
278288,280378,+,350004,352094,+
289801,288044,-,272672,270915,-
443462,441651,-,369646,371457,+
773584,775236,+,136558,134906,-
1,1833,+,1,1833,+
288058,286304,-,270926,269172,-
741189,739369,-,457576,455756,-
919996,921576,+,251104,249524,-
820371,818728,-,179248,180891,+
129049,127337,-,340970,342682,+
716941,715187,-,280239,278485,-
658398,659843,+,10264,8819,-
658378,659826,+,10284,8836,-
659819,658386,-,8843,10276,+
309922,311577,+,349318,347663,-
649067,647427,-,16629,14989,-
671335,673293,+,196112,198070,+
899996,898590,-,160711,159305,-
67619,65979,-,500091,501731,+
664266,666287,+,335343,337364,+
264623,263187,-,377970,379406,+
804340,803042,-,48396,49694,+
744990,743497,-,207396,208889,+
210821,212587,+,287973,286207,-
454672,453347,-,359945,361270,+
784561,785937,+,26670,28046,+
510826,512169,+,284330,285673,+
659635,658412,-,9027,10250,+
658382,659644,+,10280,9018,-
894516,893134,-,324361,325743,+
556753,558177,+,195697,194273,-
714393,713194,-,277700,276501,-
219930,221501,+,451922,453493,+
758772,760256,+,524386,525870,+
426672,428603,+,93664,95595,+
752320,750968,-,86510,85158,-
206076,207323,+,292649,291402,-
359860,358664,-,386507,387703,+
217075,218256,+,449046,450227,+
269197,267953,-,131836,133080,+
910347,911546,+,484845,486044,+
449784,448375,-,363283,364692,+
77741,76665,-,492878,493954,+
668782,667517,-,374928,376193,+
659832,658690,-,8830,9972,+
440451,439036,-,372190,373605,+
620243,618777,-,220222,221688,+
190876,192081,+,437963,439168,+
209459,210865,+,289341,287935,-
856431,854995,-,230231,231667,+
160893,162101,+,409759,410967,+
21837,23105,+,214925,216193,+
390809,392197,+,170521,169133,-
764673,763528,-,204441,205586,+
419788,421218,+,88326,89756,+
542792,541419,-,246362,247735,+
306166,304952,-,147157,145943,-
145448,146557,+,446875,447984,+
663585,662533,-,5289,6341,+
663585,662533,-,311253,310201,-
698607,697483,-,212467,213591,+
662533,663588,+,310201,311256,+
662533,663588,+,6341,5286,-
566395,565265,-,274367,275497,+
898583,897381,-,159295,158093,-
38929,40026,+,211079,209982,-
803214,804338,+,49522,48398,-
346497,347597,+,435356,434256,-
295305,294253,-,153887,152835,-
218986,220521,+,450978,452513,+
921607,922767,+,249500,248340,-
567627,566482,-,273167,274312,+
178184,179302,+,36445,35327,-
917299,918714,+,101634,103049,+
67723,68637,+,499987,499073,-
747973,746885,-,205823,206911,+
869263,868100,-,262204,263367,+
494601,493627,-,482044,481070,-
384486,383470,-,200842,201858,+
576742,577869,+,444301,445428,+
679291,678125,-,511497,512663,+
386226,385174,-,199589,200641,+
722265,721048,-,40124,38907,-
313036,311810,-,346285,347511,+
432309,431221,-,98707,99795,+
348793,349794,+,433007,432006,-
301846,300890,-,143156,142200,-
426077,428581,+,93069,95573,+
197923,199005,+,302923,304005,+
170714,171802,+,63883,64971,+
70671,69517,-,497033,498187,+
921212,920016,-,249888,251084,+
71847,70735,-,495857,496969,+
144195,145244,+,445753,446802,+
675195,674185,-,514809,515819,+
195262,194306,-,302728,301772,-
49761,50762,+,54528,53527,-
544129,543224,-,245020,245925,+
267975,269195,+,133058,131838,-
556037,555153,-,297783,296899,-
800111,801172,+,426518,427579,+
415099,416172,+,56501,55428,-
799121,800152,+,425527,426558,+
893141,894613,+,325736,324264,-
400774,399866,-,239060,238152,-
873368,871923,-,259446,260891,+
448553,449785,+,364514,363282,-
867929,866922,-,263527,264534,+
697484,698596,+,213590,212478,-
859468,860499,+,227482,226451,-
618790,620241,+,221675,220224,-
775241,773967,-,134901,136175,+
72751,70964,-,494953,496740,+
888259,887291,-,165119,166087,+
866646,865735,-,264718,265629,+
433557,434411,+,97499,96645,-
815743,816678,+,22829,23764,+
820913,821854,+,178776,177835,-
757215,758162,+,523137,524084,+
328411,327602,-,416043,416852,+
338344,337394,-,521585,522535,+
221509,220265,-,453501,452257,-
664586,666277,+,335663,337354,+
184674,185603,+,241991,242920,+
592007,592843,+,468574,469410,+
781543,782544,+,243070,244071,+
207322,206186,-,291403,292539,+
210885,209458,-,287915,289342,+
439430,440452,+,373211,372189,-
33899,34765,+,31518,32384,+
477704,476835,-,107149,108018,+
824929,825855,+,176177,175251,-
458893,458009,-,356448,357332,+
663290,662532,-,5584,6342,+
663290,662532,-,310958,310200,-
445050,444118,-,368073,369005,+
14644,15516,+,306510,307382,+
507521,506820,-,82873,83574,+
880209,879313,-,255242,256138,+
580745,581698,+,384277,383324,-
354622,353822,-,163236,164036,+
374395,373403,-,316422,315430,-
347593,346508,-,434260,435345,+
288042,289349,+,270913,272220,+
230996,231871,+,491519,490644,-
164675,163203,-,413476,412004,-
897481,898581,+,158193,159293,+
751008,751952,+,85198,86142,+
534808,535728,+,191260,192180,+
746886,747971,+,206910,205825,-
114799,115623,+,398171,398995,+
218249,217344,-,450220,449315,-
339637,338954,-,520298,520981,+
327607,326786,-,416853,417674,+
299062,298139,-,140354,139431,-
164671,163748,-,413472,412549,-
270556,269648,-,130475,131383,+
23837,24817,+,216720,217700,+
113493,114215,+,396882,397604,+
283424,282624,-,42665,41865,-
251003,250203,-,187691,188491,+
207327,208139,+,291392,290580,-
182829,183728,+,240116,241015,+
593488,594201,+,470058,470771,+
475155,474157,-,108818,109816,+
717955,718683,+,281110,281838,+
797183,798040,+,423557,424414,+
119666,118686,-,403030,402050,-
517562,516615,-,117600,116653,-
272494,271595,-,129488,130387,+
922742,921609,-,248365,249498,+
872466,873482,+,260348,259332,-
661827,661213,-,7056,7670,+
661827,661213,-,309486,308872,-
349715,348855,-,432085,432945,+
512166,510838,-,285670,284342,-
218265,219011,+,450230,450976,+
72735,71899,-,494969,495805,+
192086,191064,-,439173,438151,-
303933,303187,-,145205,144459,-
102642,103337,+,389244,389939,+
661828,661208,-,7055,7675,+
661828,661208,-,309487,308867,-
