39577,45825,+,41562,47810,+
45408,39577,-,47393,41562,-
124251,119701,-,125689,121139,-
119260,116117,-,120698,117555,-
113395,116595,+,114833,118033,+
42629,45889,+,44614,47874,+
106865,109645,+,108300,111080,+
113687,116275,+,115125,117713,+
115524,113395,-,116962,114833,-
33044,35434,+,35037,37427,+
103148,100629,-,104579,102060,-
39560,37455,-,41544,39439,-
35266,33035,-,37259,35028,-
99755,101971,+,101186,103402,+
117986,120130,+,119424,121568,+
124003,121739,-,125441,123177,-
15981,14245,-,17793,16057,-
102289,100442,-,103720,101873,-
107414,105408,-,108849,106843,-
115411,113393,-,116849,114831,-
31672,29804,-,33686,31818,-
108721,110646,+,110156,112081,+
6945,5338,-,9645,8038,-
116373,118073,+,117811,119511,+
123995,121869,-,125433,123307,-
20286,18676,-,22262,20652,-
42497,40809,-,44482,42794,-
113436,111901,-,114872,113337,-
62844,64502,+,64806,66464,+
122212,124257,+,123650,125695,+
110311,108707,-,111746,110142,-
118698,120131,+,120136,121569,+
45903,47393,+,47882,49372,+
100648,102309,+,102079,103740,+
63761,62340,-,65723,64302,-
29803,31272,+,31817,33286,+
108349,106841,-,109784,108276,-
116189,114651,-,117627,116089,-
109281,110828,+,110716,112263,+
82940,84337,+,85478,86875,+
121103,122623,+,122541,124061,+
52080,50896,-,54061,52877,-
126318,127502,+,54061,52877,-
52080,50896,-,127766,128950,+
126318,127502,+,127766,128950,+
70178,68724,-,71216,69762,-
98627,97173,-,100073,98619,-
82738,84249,+,85276,86787,+
97216,98628,+,98662,100074,+
29801,31261,+,31815,33275,+
82932,84335,+,85470,86873,+
84186,82738,-,86724,85276,-
95585,96985,+,97018,98418,+
127500,126319,-,128948,127767,-
50898,52079,+,128948,127767,-
127500,126319,-,52879,54060,+
50898,52079,+,52879,54060,+
40833,42341,+,42818,44326,+
47291,45906,-,49270,47885,-
122702,124252,+,124140,125690,+
121715,120273,-,123153,121711,-
63179,64501,+,65141,66463,+
61571,62968,+,63533,64930,+
42340,40886,-,44325,42871,-
