21557,19740,-,16997,15180,-
44724,43144,-,40004,38424,-
32890,34563,+,28352,30025,+
134808,133732,-,113484,112408,-
136088,134958,-,114762,113632,-
39650,40765,+,34086,35201,+
20479,21573,+,15919,17013,+
98066,97086,-,59076,60056,+
148566,149210,+,53049,52405,-
148566,149210,+,126285,126929,+
25539,24760,-,20918,20139,-
149209,148577,-,126928,126296,-
149209,148577,-,52406,53038,+
93030,93791,+,64043,63282,-
149156,148578,-,126875,126297,-
149156,148578,-,52459,53037,+
148571,149209,+,53044,52406,-
148571,149209,+,126290,126928,+
152569,153153,+,49252,48668,-
152569,153153,+,130082,130666,+
11999,11433,-,8151,7585,-
43712,44446,+,38992,39726,+
46360,47004,+,41404,42048,+
153152,152550,-,130665,130063,-
153152,152550,-,48669,49271,+
47179,47859,+,42220,42900,+
54739,55506,+,87346,86579,-
137036,136518,-,115704,115186,-
120627,119794,-,100754,99921,-
152561,153151,+,49260,48670,-
152561,153151,+,130074,130664,+
153151,152534,-,130664,130047,-
153151,152534,-,48670,49287,+
114585,113890,-,94902,94207,-
152520,153074,+,49301,48747,-
152520,153074,+,130033,130587,+
784,1371,+,811,1398,+
12109,12762,+,8413,9066,+
131747,131163,-,110560,109976,-
40665,39988,-,35101,34424,-
82867,83397,+,74249,73719,-
11124,10696,-,7273,6845,-
33557,32883,-,29019,28345,-
19890,21284,+,15330,16724,+
153150,152662,-,130663,130175,-
153150,152662,-,48671,49159,+
51953,52615,+,46704,47366,+
148941,148579,-,126660,126298,-
148941,148579,-,52674,53036,+
51516,51950,+,46247,46681,+
2469,2984,+,2467,2982,+
217,717,+,241,741,+
50982,51446,+,45716,46180,+
137903,137544,-,116565,116206,-
136528,137016,+,115196,115684,+
149230,149610,+,52387,52007,-
149230,149610,+,126947,127327,+
129862,129467,-,108640,108245,-
26328,25642,-,21719,21033,-
152004,151702,-,129518,129216,-
130509,129901,-,109298,108690,-
49295,49768,+,44038,44511,+
152004,151702,-,49816,50118,+
149607,149230,-,127324,126947,-
149607,149230,-,52010,52387,+
149229,149609,+,52388,52008,-
149229,149609,+,126946,127326,+
142284,141886,-,120753,120355,-
152289,152026,-,129798,129535,-
129011,128643,-,107798,107430,-
152289,152026,-,49536,49799,+
165363,165896,+,137896,138429,+
134510,134803,+,113186,113479,+
139771,139400,-,118216,117845,-
149573,149277,-,127290,126994,-
149573,149277,-,52044,52340,+
151704,152009,+,50116,49811,-
151704,152009,+,129218,129523,+
26736,26341,-,22130,21735,-
152012,151710,-,129526,129224,-
137446,137054,-,116119,115727,-
152012,151710,-,49808,50110,+
59389,59165,-,82014,82238,+
103966,104418,+,55477,55025,-
58388,58759,+,82953,82582,-
151706,151960,+,50114,49860,-
151706,151960,+,129220,129474,+
73592,74101,+,78308,77799,-
152023,152286,+,49802,49539,-
152023,152286,+,129532,129795,+
77491,77183,-,76507,76815,+
152288,152043,-,129797,129552,-
152288,152043,-,49537,49782,+
140638,140348,-,119098,118808,-
135643,136086,+,114317,114760,+
19251,18814,-,14764,14327,-
1373,987,-,1400,1014,-
22335,22850,+,17751,18266,+
12883,13329,+,9181,9627,+
151732,152013,+,50088,49807,-
151732,152013,+,129246,129527,+
152287,152027,-,129796,129536,-
152287,152027,-,49538,49798,+
18801,18424,-,14317,13940,-
152027,152317,+,49798,49508,-
152027,152317,+,129536,129826,+
141802,141368,-,120274,119840,-
27955,28332,+,23245,23622,+
24953,25351,+,20332,20730,+
52607,52978,+,47355,47726,+
135253,135585,+,113927,114259,+
123459,123139,-,103349,103029,-
151957,151709,-,129471,129223,-
151957,151709,-,49863,50111,+
152028,152288,+,49797,49537,-
152028,152288,+,129537,129797,+
2983,2468,-,2981,2466,-
59184,59390,+,82219,82013,-
20029,20277,+,15469,15717,+
42175,41699,-,36516,36040,-
11434,11811,+,7586,7963,+
10602,10270,-,6766,6434,-
114083,114472,+,94400,94789,+
83632,83901,+,73487,73218,-
93790,93341,-,63283,63732,+
128644,129012,+,107431,107799,+
123125,123454,+,103015,103344,+
43166,43423,+,38446,38703,+
45412,45771,+,40456,40815,+
116782,116363,-,97064,96645,-
45066,44842,-,40328,40104,-
44492,44725,+,39772,40005,+
139458,139751,+,117903,118196,+
141899,142279,+,120368,120748,+
95376,95687,+,61724,61413,-
40591,39758,-,35027,34194,-
47552,47187,-,42593,42228,-
149440,149228,-,127157,126945,-
149440,149228,-,52177,52389,+
150727,150987,+,50921,50661,-
131164,131463,+,109977,110276,+
150727,150987,+,128413,128673,+
139297,139112,-,117736,117551,-
123900,123571,-,103765,103436,-
142740,142552,-,121212,121024,-
133132,132842,-,111858,111568,-
43345,44031,+,38625,39311,+
150201,150401,+,51449,51249,-
150201,150401,+,127885,128085,+
150980,150726,-,128666,128412,-
150980,150726,-,50668,50922,+
95898,96266,+,61205,60837,-
150199,149999,-,127882,127682,-
128523,128179,-,107325,106981,-
118917,118666,-,99128,98877,-
150199,149999,-,51452,51652,+
144348,144094,-,122697,122443,-
150005,150211,+,51646,51440,-
150005,150211,+,127688,127894,+
140887,140714,-,119365,119192,-
150360,150211,-,128044,127895,-
150360,150211,-,51290,51439,+
152526,152329,-,130038,129841,-
152526,152329,-,49296,49493,+
19524,19339,-,15028,14843,-
149208,149008,-,126927,126727,-
149208,149008,-,52407,52607,+
129474,129806,+,108252,108584,+
150403,150200,-,128087,127884,-
18491,18802,+,14007,14318,+
150403,150200,-,51247,51450,+
123112,122861,-,103012,102761,-
32206,32439,+,27685,27918,+
52590,52081,-,47341,46832,-
127308,126820,-,106116,105628,-
133964,134170,+,112640,112846,+
99477,99166,-,57772,58083,+
150982,150737,-,128668,128423,-
150982,150737,-,50666,50911,+
93292,93029,-,63781,64044,+
1569,1739,+,1583,1753,+
126284,125994,-,105116,104826,-
50534,50821,+,45265,45552,+
152311,152526,+,49511,49296,-
152311,152526,+,129823,130038,+
150532,150365,-,128215,128048,-
134695,134309,-,113371,112985,-
150532,150365,-,51119,51286,+
2007,2243,+,2014,2250,+
131055,130870,-,109857,109672,-
94177,94548,+,62902,62531,-
136521,137018,+,115189,115686,+
127921,127748,-,106723,106550,-
86540,86866,+,72074,71748,-
152510,152310,-,130022,129822,-
152510,152310,-,49312,49512,+
141202,140924,-,119674,119396,-
124227,124030,-,104086,103889,-
150212,150367,+,51438,51283,-
150212,150367,+,127896,128051,+
143529,143341,-,121914,121726,-
134278,133850,-,112954,112526,-
37726,38016,+,32758,33048,+
133733,133909,+,112409,112585,+
10697,10936,+,6846,7085,+
7407,7159,-,3993,3745,-
150214,150372,+,51436,51278,-
150214,150372,+,127898,128056,+
43478,43654,+,38758,38934,+
34160,33771,-,29622,29233,-
150371,150204,-,128055,127888,-
150371,150204,-,51279,51446,+
143976,143689,-,122355,122068,-
134231,134461,+,112907,113137,+
140352,140621,+,118812,119081,+
77971,77711,-,76021,76281,+
24732,24514,-,20117,19899,-
147648,147430,-,125514,125296,-
140230,139808,-,118702,118280,-
139101,139295,+,117540,117734,+
4,180,+,28,204,+
34388,34215,-,29850,29677,-
134834,134427,-,113510,113103,-
36171,36485,+,31175,31489,+
93791,93531,-,63282,63542,+
77686,77540,-,76312,76458,+
118667,118912,+,98878,99123,+
152527,152321,-,130039,129833,-
152527,152321,-,49295,49501,+
149995,150201,+,51656,51450,-
149995,150201,+,127678,127884,+
132849,133073,+,111575,111799,+
141474,141824,+,119946,120296,+
78434,78643,+,75458,75249,-
89856,90128,+,69939,69667,-
97564,97830,+,59578,59312,-
136316,136143,-,114984,114811,-
32442,32777,+,27909,28244,+
47887,48078,+,42925,43116,+
46622,46449,-,41666,41493,-
134922,134812,-,113595,113485,-
116217,115996,-,96520,96299,-
97132,97437,+,60010,59705,-
119960,120295,+,100087,100422,+
150198,150004,-,127881,127687,-
150198,150004,-,51453,51647,+
152310,152516,+,49512,49306,-
152310,152516,+,129822,130028,+
122785,122618,-,102739,102572,-
150514,150669,+,51135,50980,-
134539,134805,+,113215,113481,+
150514,150669,+,128199,128354,+
49940,50284,+,44671,45015,+
152276,152521,+,49546,49301,-
152276,152521,+,129788,130033,+
39939,39661,-,34375,34097,-
134041,134343,+,112717,113019,+
138052,137918,-,116707,116573,-
136974,136519,-,115642,115187,-
44858,45070,+,40120,40332,+
133741,134019,+,112417,112695,+
150531,150367,-,128214,128050,-
133738,133427,-,112422,112111,-
125693,125568,-,104548,104423,-
44125,44415,+,39405,39695,+
150531,150367,-,51120,51284,+
150852,150986,+,50796,50662,-
150852,150986,+,128538,128672,+
31781,31981,+,27269,27469,+
142559,142756,+,121031,121228,+
8278,8087,-,4718,4527,-
145913,145731,-,124385,124203,-
138373,138116,-,117028,116771,-
92251,92403,+,65225,65073,-
51856,51656,-,46587,46387,-
10298,10597,+,6462,6761,+
149608,149486,-,127325,127203,-
22893,23153,+,18303,18563,+
149608,149486,-,52009,52131,+
137058,137459,+,115731,116132,+
150367,150528,+,51284,51123,-
150367,150528,+,128050,128211,+
150197,150003,-,127880,127686,-
150197,150003,-,51454,51648,+
104321,103971,-,55122,55472,+
150531,150650,+,51118,50999,-
150531,150650,+,128216,128335,+
12380,12105,-,8684,8409,-
117522,117334,-,97781,97593,-
78113,78394,+,75779,75498,-
150356,150511,+,51295,51140,-
150356,150511,+,128039,128194,+
1738,1562,-,1752,1576,-
28196,27975,-,23486,23265,-
143741,143923,+,122120,122302,+
20443,19865,-,15883,15305,-
83443,83598,+,73670,73515,-
132427,132618,+,111238,111429,+
117004,116846,-,97274,97116,-
50739,50581,-,45470,45312,-
11098,10808,-,7247,6957,-
131885,131751,-,110695,110561,-
121285,121055,-,101410,101180,-
124025,124219,+,103884,104078,+
86057,86356,+,72537,72238,-
53146,53364,+,131393,131175,-
53146,53364,+,47941,48159,+
149648,149749,+,51970,51869,-
44344,44018,-,39624,39298,-
149648,149749,+,127364,127465,+
59616,59461,-,81806,81961,+
130886,131053,+,109688,109855,+
137551,137685,+,116213,116347,+
127581,127366,-,106366,106151,-
32438,32211,-,27917,27690,-
10988,11110,+,7137,7259,+
124027,123884,-,103887,103744,-
118626,118426,-,98840,98640,-
150869,150988,+,50779,50660,-
150869,150988,+,128555,128674,+
150649,150530,-,128334,128215,-
119406,119182,-,99544,99320,-
150649,150530,-,51000,51119,+
71652,71822,+,79381,79211,-
94574,94110,-,62505,62969,+
150650,150528,-,128335,128213,-
150650,150528,-,50999,51121,+
100235,100098,-,57080,57217,+
150651,150532,-,128336,128217,-
150651,150532,-,50998,51117,+
39494,39649,+,33927,34082,+
121947,121780,-,101933,101766,-
149749,149648,-,127465,127364,-
149749,149648,-,51869,51970,+
47825,47580,-,42866,42621,-
140754,140888,+,119232,119366,+
137931,138113,+,116586,116768,+
59168,59392,+,82235,82011,-
49551,49399,-,44294,44142,-
149750,149649,-,127466,127365,-
149750,149649,-,51868,51969,+
90366,90647,+,69426,69145,-
51145,50984,-,45879,45718,-
1398,1520,+,1424,1546,+
1314,988,-,1341,1015,-
149721,149647,-,127437,127363,-
149721,149647,-,51897,51971,+
51800,51474,-,46531,46205,-
120350,120622,+,100477,100749,+
33534,33283,-,28996,28745,-
136517,136320,-,115188,114991,-
118180,117977,-,98398,98195,-
117756,117532,-,98018,97794,-
128077,127943,-,106882,106748,-
41080,41250,+,35498,35668,+
46102,46245,+,41149,41292,+
74082,73789,-,77818,78111,+
147383,147637,+,125249,125503,+
