114774,112561,-,115842,113629,-
22256,20016,-,22130,19890,-
17961,16276,-,17129,15444,-
39394,37760,-,40016,38382,-
113375,115417,+,114443,116485,+
28546,30219,+,28292,29965,+
39769,41523,+,40402,42156,+
115996,114158,-,117064,115226,-
129236,127710,-,130457,128931,-
48085,49611,+,130457,128931,-
129236,127710,-,48877,50403,+
48085,49611,+,48877,50403,+
126468,125068,-,127685,126285,-
50853,52253,+,127685,126285,-
126468,125068,-,51649,53049,+
50853,52253,+,51649,53049,+
52239,50851,-,53035,51647,-
125082,126470,+,53035,51647,-
52239,50851,-,126299,127687,+
125082,126470,+,126299,127687,+
34006,35394,+,33843,35231,+
112554,111343,-,113625,112414,-
52240,50852,-,53036,51648,-
125081,126469,+,53036,51648,-
52240,50852,-,126298,127686,+
125081,126469,+,126298,127686,+
100547,102751,+,101610,103814,+
88076,86637,-,87364,85925,-
2979,928,-,2982,931,-
46149,44665,-,46764,45280,-
49277,48084,-,50069,48876,-
128044,129237,+,50069,48876,-
49277,48084,-,129265,130458,+
128044,129237,+,129265,130458,+
121656,120196,-,122760,121300,-
10114,11220,+,8416,9522,+
41411,39786,-,42044,40419,-
16856,18316,+,16024,17484,+
35393,34056,-,35230,33893,-
9307,8126,-,7561,6380,-
37339,36158,-,37203,36022,-
44969,46150,+,45584,46765,+
63131,62082,-,61793,60744,-
117139,115994,-,118219,117074,-
1966,2934,+,1969,2937,+
29846,28593,-,29592,28339,-
114636,115964,+,115704,117032,+
52241,51351,-,53037,52147,-
125080,125970,+,53037,52147,-
52241,51351,-,126297,127187,+
125080,125970,+,126297,127187,+
15836,14946,-,15037,14147,-
102330,100969,-,103393,102032,-
44467,45660,+,45082,46275,+
30270,28576,-,30016,28322,-
41527,42582,+,42163,43218,+
65437,64634,-,64079,63276,-
2933,1965,-,2936,1968,-
778,1917,+,781,1920,+
49320,48421,-,50112,49213,-
128001,128900,+,50112,49213,-
49320,48421,-,129222,130121,+
128001,128900,+,129222,130121,+
109771,108545,-,110851,109625,-
62353,63378,+,61015,62040,+
118552,117701,-,119647,118796,-
128899,127997,-,130120,129218,-
48422,49324,+,130120,129218,-
128899,127997,-,49214,50116,+
48422,49324,+,49214,50116,+
135770,136774,+,137827,138831,+
84692,83796,-,83157,82261,-
61289,60417,-,59947,59075,-
1,735,+,1,735,+
97668,96670,-,98728,97730,-
69967,68798,-,69972,68803,-
929,1993,+,932,1996,+
101350,100514,-,102413,101577,-
35343,34123,-,35180,33960,-
112786,113988,+,113854,115056,+
126469,125741,-,127686,126958,-
50852,51580,+,127686,126958,-
126469,125741,-,51648,52376,+
50852,51580,+,51648,52376,+
20017,20805,+,19891,20679,+
45951,46751,+,46566,47366,+
96866,97771,+,97926,98831,+
125750,125070,-,126967,126287,-
51571,52251,+,126967,126287,-
125750,125070,-,52367,53047,+
51571,52251,+,52367,53047,+
38637,39386,+,39259,40008,+
38330,39382,+,38952,40004,+
65429,64464,-,64071,63106,-
126464,125787,-,127681,127004,-
50857,51534,+,127681,127004,-
126464,125787,-,51653,52330,+
50857,51534,+,51653,52330,+
87235,88068,+,86523,87356,+
92443,91562,-,93458,92577,-
104924,106177,+,105986,107239,+
64623,65339,+,63265,63981,+
112562,113218,+,113630,114286,+
108302,107592,-,109379,108669,-
98155,97409,-,99215,98469,-
61587,60421,-,60245,59079,-
2044,776,-,2047,779,-
72426,71752,-,72810,72136,-
44861,44088,-,45476,44703,-
10778,10092,-,9080,8394,-
102866,101943,-,103929,103006,-
14691,15836,+,13892,15037,+
119269,118607,-,120364,119702,-
50855,50319,-,51650,51114,-
126466,127002,+,51650,51114,-
50855,50319,-,127684,128220,+
126466,127002,+,127684,128220,+
10410,11507,+,8712,9809,+
120836,121672,+,121940,122776,+
126997,126467,-,128215,127685,-
50324,50854,+,128215,127685,-
115611,114949,-,116679,116017,-
126997,126467,-,51119,51649,+
50324,50854,+,51119,51649,+
41532,40552,-,42165,41185,-
100515,101351,+,101578,102414,+
114034,114987,+,115102,116055,+
55079,54495,-,55525,54941,-
77301,76402,-,76830,75931,-
98195,99208,+,99258,100271,+
60424,60975,+,59082,59633,+
129258,128650,-,130479,129871,-
48063,48671,+,130479,129871,-
129258,128650,-,48855,49463,+
48063,48671,+,48855,49463,+
107613,108515,+,108690,109592,+
64501,65415,+,63143,64057,+
45373,44120,-,45988,44735,-
1679,804,-,1682,807,-
127001,126465,-,128219,127683,-
50320,50856,+,128219,127683,-
127001,126465,-,51115,51651,+
50320,50856,+,51115,51651,+
31178,31726,+,30956,31504,+
78594,77986,-,78212,77604,-
118359,119279,+,119454,120374,+
126996,126466,-,128214,127684,-
50325,50855,+,128214,127684,-
126996,126466,-,51120,51650,+
50325,50855,+,51120,51650,+
43893,42709,-,44505,43321,-
34251,35324,+,34088,35161,+
48616,48062,-,49408,48854,-
128705,129259,+,49408,48854,-
48616,48062,-,129926,130480,+
128705,129259,+,129926,130480,+
87099,88082,+,86387,87370,+
93803,93228,-,94875,94300,-
64598,65437,+,63240,64079,+
64233,63727,-,62872,62366,-
111349,112281,+,112420,113352,+
107686,108297,+,108763,109374,+
50854,50312,-,51649,51107,-
126467,127009,+,51649,51107,-
50854,50312,-,127685,128227,+
126467,127009,+,127685,128227,+
25514,26098,+,25270,25854,+
97560,98156,+,98620,99216,+
102223,103032,+,103286,104095,+
115139,114159,-,116207,115227,-
119760,119257,-,120849,120346,-
76408,76941,+,75937,76470,+
