1,1800,CDS,+,lepA
1816,2805,CDS,+,lepB
2848,3025,mature_transcript,+,BEMHIR_00003
2971,3651,CDS,+,rnc
3648,4541,CDS,+,era
5081,5224,pseudogene,-,trmJ
5550,6359,CDS,+,suhB
6428,6547,CDS,+,BEMHIR_00007
6840,7628,CDS,+,fabI
8472,8729,CDS,-,BEMHIR_00009
9503,10270,CDS,-,tsaB
10373,10758,pseudogene,-,dinG
11028,11834,CDS,-,rluB
12331,13797,CDS,-,zwf
14414,15051,pseudogene,-,BEMHIR_0013
15864,16287,pseudogene,-,rpoN
15137,15616,CDS,-,ptsN
16972,17697,CDS,-,lptB
18216,18239,signal_peptide,-,Parent=BEMHIR_00015
17703,18239,CDS,-,lptA
18214,18792,CDS,-,lptC
18812,19232,pseudogene,-,kdsC
19313,20299,CDS,-,kdsD
20918,21718,CDS,+,mlaF
21735,22517,CDS,+,mlaE
22522,23061,CDS,+,mlaD
23229,23249,signal_peptide,+,Parent=BEMHIR_00022
23229,23864,CDS,+,mlaC
23857,24195,CDS,+,mlaB
24345,24539,CDS,-,BEMHIR_00024
24613,25977,CDS,+,ffh
26046,26294,CDS,+,rpsP
26305,26865,CDS,+,rimM
26862,27656,CDS,+,trmD
27721,28068,CDS,+,rplS
28187,28276,tRNA,+,BEMHIR_00030
29595,29618,signal_peptide,-,Parent=BEMHIR_00031
28509,29618,CDS,-,ompC
30224,30547,CDS,+,bolA
30602,31861,CDS,+,murA
33883,33906,signal_peptide,-,Parent=BEMHIR_00034
32536,33906,CDS,-,degQ
34044,34354,pseudogene,-,BEMHIR_0034
34356,34559,CDS,+,BEMHIR_00035
35266,35694,CDS,+,rplM
35710,36102,CDS,+,rpsI
36866,37153,pseudogene,-,hexR
37694,38419,CDS,+,ubiE_1
39307,39837,CDS,+,mutS2
40083,40235,CDS,+,BEMHIR_00040
40486,40935,pseudogene,-,sixA
42022,43377,CDS,+,pssA
45134,45883,CDS,-,dnaQ
45936,46427,CDS,+,rnhA
47081,47617,CDS,+,ydjM
47665,49126,pseudogene,-,BEMHIR_00045
50171,52561,CDS,-,pheT
52576,53571,CDS,-,pheS
53841,54209,CDS,-,rplT
54234,54431,CDS,-,rpmI
54517,55029,CDS,-,infC
55060,56994,CDS,-,thrS
57423,59111,CDS,+,metG_1
59068,59511,CDS,+,metG_2
59716,59877,CDS,-,BEMHIR_00054
59935,60010,tRNA,-,BEMHIR_00055
60268,60366,CDS,-,BEMHIR_00056
61413,61991,CDS,+,nfuA
62199,63311,CDS,-,mrdB
63318,65222,CDS,-,spoVD
65343,65486,CDS,-,BEMHIR_00060
66186,67217,CDS,-,holA
67249,67833,CDS,-,lptE
67848,70421,CDS,-,leuS
70865,72901,CDS,+,prlC
73250,75059,pseudogene,-,dxs
75089,75991,CDS,-,ispA
75988,76236,CDS,-,xseB
76438,77889,CDS,+,thiI
77982,78572,CDS,-,yajL
79220,81787,CDS,+,mutS
83271,84614,CDS,-,xseA
84742,86153,pseudogene,+,guaB
86254,87680,pseudogene,+,guaA
88940,89681,pseudogene,-,dapD
88081,88323,CDS,-,BEMHIR_00083
89924,90889,CDS,-,glk
92121,92947,pseudogene,+,dapA
93201,93602,pseudogene,+,bamC
94396,94563,CDS,-,rpmG
94580,94816,CDS,-,rpmB
95825,96868,CDS,+,mreB
96961,98025,CDS,+,mreC
98022,98510,CDS,+,mreD
98606,98764,CDS,-,BEMHIR_00093
98855,99058,pseudogene,-,glnA
99396,101207,CDS,+,typA
101620,102786,CDS,+,mnmA
102894,103523,CDS,+,hflD
103543,104794,pseudogene,+,purB
104952,105623,CDS,+,phoP_1
105629,107095,CDS,+,phoQ
107722,108377,pseudogene,+,marC
108523,108717,CDS,-,BEMHIR_00102
108832,109011,CDS,+,BEMHIR_00103
110715,111332,CDS,+,sodA
111911,112534,CDS,+,clpP
112647,113921,CDS,+,clpX
114088,116439,CDS,+,lon
116614,116886,CDS,+,hupB
117431,117913,CDS,+,smpB
118957,119904,CDS,+,rsmH
119901,120089,CDS,+,BEMHIR_00112
120336,121442,pseudogene,+,ftsI
121524,123011,CDS,+,murE
123008,124375,CDS,+,murF
124369,125454,CDS,+,mraY
125454,126767,CDS,+,murD
126767,127284,pseudogene,+,ftsW
127293,128360,CDS,+,murG
128452,129873,CDS,+,murC
130267,131523,CDS,+,ftsA
131714,132883,CDS,+,ftsZ
132988,133905,CDS,+,lpxC
134012,134371,CDS,-,BEMHIR_00125
134522,134860,CDS,+,secM
134931,137636,CDS,+,secA
137728,138108,CDS,+,erpA
138295,139173,CDS,-,htpX
139435,139575,CDS,-,BEMHIR_00130
139594,140271,CDS,-,proQ
141621,143345,CDS,-,proS
144559,145044,CDS,-,lspA
145044,147860,CDS,-,ileS
148034,148810,CDS,-,ribF
149019,149282,CDS,+,rpsT
149879,150349,CDS,+,ribE
150364,150783,CDS,+,nusB
151249,151791,CDS,+,pgpA
152456,152886,pseudogene,-,nrdR
154462,154485,signal_peptide,+,Parent=BEMHIR_00141
154462,155460,CDS,+,nlpD
155695,156909,CDS,-,cca
158330,159193,CDS,+,BEMHIR_00143
159934,160668,CDS,-,plsC
160748,163009,CDS,-,parC
164223,164483,pseudogene,-,pdxY
164624,165898,CDS,-,tyrS
165966,166330,pseudogene,-,pdxH
166675,167355,CDS,+,ung
167507,167627,mature_transcript,+,BEMHIR_00148
167591,167665,tRNA,-,BEMHIR_00149
168422,168538,CDS,-,BEMHIR_00150
169656,171454,pseudogene,+,relA
172155,173792,CDS,+,pyrG
173871,175190,CDS,+,eno
175967,177307,CDS,-,pmbA
178409,179806,CDS,+,galP
180587,181711,CDS,+,tgt
181737,182069,CDS,+,yajC
182128,183942,CDS,+,secD
183952,184902,CDS,+,secF
185161,185376,CDS,-,rpmE
185508,187703,CDS,+,priA
188043,188861,CDS,-,rsmA
188866,189829,pseudogene,-,pdxA
191107,191127,signal_peptide,-,Parent=BEMHIR_00165
189832,191127,CDS,-,surA
193521,193547,signal_peptide,-,Parent=BEMHIR_00166
191193,193547,CDS,-,lptD
193695,194430,pseudogene,+,djlA
194901,196154,CDS,+,glyA
196382,196537,CDS,-,BEMHIR_00169
196810,196977,CDS,-,BEMHIR_00170
197402,197909,pseudogene,+,BEMHIR_00171
197922,198047,CDS,+,BEMHIR_00172
198142,198312,CDS,+,BEMHIR_00173
198520,199677,CDS,-,iscS
199719,200096,pseudogene,-,iscR
200390,200614,CDS,-,BEMHIR_00176
200630,201580,CDS,-,fmt
201603,202118,CDS,-,def
202936,203412,CDS,+,greA
203595,203723,pseudogene,-,yhbY
203898,204542,CDS,+,rlmE
204569,206494,CDS,+,ftsH
206632,207385,pseudogene,+,folP
208448,208891,CDS,+,BEMHIR_00185
209268,209720,CDS,+,aroQ_1
209741,210199,CDS,+,accB
210678,211301,CDS,+,gmk
211350,211625,CDS,+,rpoZ
211646,212872,CDS,+,spoT
213691,213767,tRNA,-,BEMHIR_00191
213778,213866,tRNA,-,BEMHIR_00192
214093,214215,pseudogene,-,csrA
214429,217065,CDS,-,alaS
217483,219003,CDS,-,lysS
219003,220100,CDS,-,prfB
221971,222185,pseudogene,-,dsbC
223610,224125,CDS,+,fldA
224172,226187,CDS,+,sppA
227243,227404,CDS,-,BEMHIR_00200
227526,229520,CDS,-,tktA
230928,231371,CDS,+,cysJ
231510,231749,CDS,-,BEMHIR_00203
231836,233368,CDS,-,murJ
234045,234383,CDS,-,BEMHIR_00205
234497,235318,CDS,+,gltC
235851,236361,pseudogene,+,argH
236705,236854,CDS,-,BEMHIR_00207
236952,238001,pseudogene,-,ubiB
238717,238911,CDS,-,BEMHIR_00208
239191,240263,pseudogene,-,pyrC
240422,243640,CDS,-,rne
243664,243899,mature_transcript,-,BEMHIR_00211
244080,245048,CDS,+,rluC
245119,245256,CDS,+,BEMHIR_00213
245473,245661,CDS,+,BEMHIR_00214
245726,245917,CDS,+,rpmF
245914,246375,CDS,+,BEMHIR_00216
246378,246843,pseudogene,+,pslX
246853,247806,CDS,+,fabH
247823,248770,CDS,+,fabD
248767,249510,CDS,+,fabG
249662,249895,CDS,+,acpP
251870,251946,tRNA,-,BEMHIR_00221
252720,253256,CDS,+,slyA
253774,253794,signal_peptide,-,Parent=BEMHIR_00223
253327,253794,CDS,-,slyB
254517,255935,CDS,-,lpdA
256089,257843,CDS,-,aceF
257859,260525,CDS,-,aceE
262185,264473,CDS,+,dnaX
264533,264862,CDS,+,ybaB
265203,265316,CDS,+,BEMHIR_00229
265780,269195,pseudogene,+,purL
270327,271121,CDS,-,rlmB
271370,273715,CDS,-,rnr
274181,274847,pseudogene,-,purA
274966,275970,CDS,-,hflC
275974,277215,CDS,-,hflK
277741,278046,CDS,-,hfq
278285,279271,CDS,-,miaA
279278,281283,pseudogene,-,mutL
282847,282870,signal_peptide,-,Parent=BEMHIR_00242
281317,282870,CDS,-,amiB
282867,283352,CDS,-,tsaE
284780,285748,CDS,+,birA
286217,287251,CDS,-,murB
287502,287759,pseudogene,+,phdR
288769,289080,CDS,+,rplU
289681,290160,CDS,-,ispF
290216,290404,CDS,+,BEMHIR_00248
290973,291368,CDS,+,rpsF
291372,291692,CDS,+,priB
291697,291924,CDS,+,rpsR
292407,292856,CDS,+,rplI
293201,293806,CDS,-,speG
294354,294450,mature_transcript,-,BEMHIR_00254
295863,295936,tRNA,-,BEMHIR_00255
297178,297525,CDS,+,BEMHIR_00256
297855,297875,signal_peptide,+,Parent=BEMHIR_00257
297855,298436,CDS,+,lpoB
