1,1800,CDS,+,lepA
1818,2804,CDS,+,lepB
2815,2995,mature_transcript,+,XETPER_00003
2956,3621,CDS,+,rnc
3618,4529,CDS,+,era
4770,5165,CDS,+,acpS
5266,5757,CDS,+,tadA
5826,5911,tRNA,-,XETPER_00008
5928,6001,tRNA,-,XETPER_00009
6372,7031,CDS,+,pyrE
7172,7627,CDS,-,dut
8136,8393,CDS,+,rpmB
8397,8564,CDS,+,rpmG
8669,9478,CDS,+,mutM
9556,10338,CDS,-,gpgS
10351,11607,CDS,-,waaA
11622,11750,pseudogene,-,XETPER_00600
12184,12369,pseudogene,+,gshB
12494,12928,CDS,+,yqgF
13013,14389,CDS,-,XETPER_00019
14955,15031,tRNA,-,XETPER_00020
15173,15916,CDS,-,dnaQ
15989,16498,CDS,+,rnhA
16518,17210,CDS,-,ubiE
17252,17593,pseudogene,+,gloB
17808,17883,tRNA,-,XETPER_00025
18336,18608,CDS,-,hupA
18844,19101,CDS,+,XETPER_00027
19405,20109,CDS,-,gpmA
20355,20915,CDS,+,hemG
21091,21288,CDS,+,XETPER_00030
21397,22188,CDS,+,fabI
22294,23058,CDS,-,pyrF
23222,24379,CDS,-,XETPER_00033
24393,24647,pseudogene,-,XETPER_00601
24837,25586,CDS,-,pgpB
26182,28770,CDS,-,topA
29213,30004,CDS,-,rluB
30895,32457,CDS,+,trpE
32457,33035,CDS,+,trpG
33278,33484,pseudogene,+,deaD_1
33599,34960,CDS,+,trpC
35015,36205,CDS,+,trpB
36205,37020,CDS,+,trpA
37478,38224,CDS,+,XETPER_00043
39010,40470,CDS,+,cls
41196,41648,CDS,+,hns
41999,42898,CDS,-,galU
43172,43984,CDS,+,xthA
44545,46404,CDS,+,sppA
46579,47571,CDS,+,gapA
48169,49926,CDS,+,aspS
50224,50961,CDS,+,yebC
50999,51493,CDS,+,ruvC
51617,52237,CDS,+,ruvA
52246,53262,CDS,+,ruvB
53335,54588,CDS,+,glyA
54604,55392,CDS,-,suhB
55711,56889,CDS,+,iscS
56954,57292,CDS,-,XETPER_00058
57536,59575,CDS,-,tktA
59591,60541,CDS,-,talB
60703,62232,CDS,-,tilS
62543,64201,CDS,+,glnS
64835,65620,CDS,+,fhuC
65654,66523,CDS,+,mntB
66520,66546,signal_peptide,+,Parent=XETPER_00065
66520,67410,CDS,+,fimA
67494,67799,pseudogene,-,hpf
67944,68669,CDS,-,lptB
69189,69218,signal_peptide,-,Parent=XETPER_00068
68694,69218,CDS,-,lptA
69193,69777,CDS,-,lptC
69774,70343,CDS,-,kdsC
70358,71350,CDS,-,kdsD
71877,72686,CDS,+,mlaF
72695,73477,CDS,+,mlaE
