39781,44607,+,40641,45467,+
44706,40108,-,45566,40968,-
120346,116840,-,122486,118980,-
124209,120958,-,126352,123101,-
113614,116805,+,115754,118945,+
105431,108559,+,107614,110742,+
41153,38298,-,42013,39158,-
105547,108663,+,107730,110846,+
96642,99398,+,98814,101570,+
101450,104191,+,103634,106375,+
38952,41438,+,39812,42298,+
115737,113629,-,117877,115769,-
99975,97357,-,102147,99529,-
108502,105932,-,110685,108115,-
53347,51197,-,54185,52035,-
125987,128137,+,54185,52035,-
53347,51197,-,128205,130355,+
125987,128137,+,128205,130355,+
123488,120975,-,125631,123118,-
128135,125985,-,130353,128203,-
51199,53349,+,130353,128203,-
128135,125985,-,52037,54187,+
51199,53349,+,52037,54187,+
53348,51228,-,54186,52066,-
53348,51228,-,128204,130324,+
125995,128106,+,54177,52066,-
125995,128106,+,128213,130324,+
121910,124324,+,124053,126467,+
124207,121826,-,126350,123969,-
118338,120374,+,120478,122514,+
92240,90093,-,94394,92247,-
109660,111849,+,111807,113996,+
33906,35996,+,34747,36837,+
44704,46623,+,45570,47489,+
17132,15327,-,17587,15782,-
92190,90163,-,94344,92317,-
8209,6332,-,8452,6575,-
28295,30052,+,29135,30892,+
30057,28294,-,30897,29134,-
60652,62517,+,61670,63535,+
85569,87500,+,87726,89657,+
60656,62440,+,61674,63458,+
68362,70305,+,67775,69718,+
100771,98843,-,102943,101015,-
98797,97058,-,100969,99230,-
90238,92055,+,92392,94209,+
116583,118286,+,118723,120426,+
108662,106803,-,110845,108986,-
115411,113630,-,117551,115770,-
28294,30003,+,29134,30843,+
120964,122694,+,123107,124837,+
108480,106732,-,110663,108915,-
62273,60744,-,63291,61762,-
15460,17130,+,15915,17585,+
20454,22058,+,20926,22530,+
62226,60655,-,63244,61673,-
107049,108662,+,109232,110845,+
1506,1,-,1506,1,-
33791,32319,-,34637,33165,-
8416,9723,+,8657,9964,+
90164,91903,+,92318,94057,+
30725,32107,+,31586,32968,+
118886,117372,-,121026,119512,-
34415,36001,+,35256,36842,+
21179,19863,-,21651,20335,-
77297,78811,+,76802,78316,+
43253,44707,+,44113,45567,+
77296,78660,+,76801,78165,+
